total_spent_so_far,day_of_month,avg_daily_spend,food_spend,transport_spend,shopping_spend,bnpl_spend,entertainment_spend,days_remaining,budget,spend_ratio,income,bnpl_total,num_loans,savings,bnpl_ratio,savings_ratio,persona,has_bnpl,description,actual_month_total,risk_score
32.04,7,4.58,14.45,5.93,2.49,0.0,1.79,23,106.42,0.301,124.94,0.0,0,3.66,0.0,0.029,broke,0,"Village family allowance, studying in Phnom Penh",146.61,4.52
93.71,26,3.6,51.44,15.85,7.34,0.0,4.97,4,66.54,1.408,81.59,0.0,0,1.84,0.0,0.023,broke,0,"Village family allowance, studying in Phnom Penh",96.94,32.74
103.53,25,4.14,57.24,18.18,8.32,0.0,5.6,5,101.84,1.017,114.77,0.0,0,4.27,0.0,0.037,broke,0,"Village family allowance, studying in Phnom Penh",128.67,12.73
136.7,20,6.83,70.73,22.7,12.09,0.0,7.58,10,149.92,0.912,163.49,0.0,0,1.14,0.0,0.007,broke,0,"Village family allowance, studying in Phnom Penh",204.14,3.96
15.07,3,5.02,6.76,2.52,1.26,0.0,0.73,27,74.84,0.201,81.85,0.0,0,1.4,0.0,0.017,broke,0,"Village family allowance, studying in Phnom Penh",139.45,9.71
100.55,26,3.87,49.96,16.35,8.03,0.0,5.0,4,77.15,1.303,96.39,0.0,0,2.13,0.0,0.022,broke,0,"Village family allowance, studying in Phnom Penh",111.96,20.8
58.64,10,5.86,25.96,11.35,4.45,0.0,2.66,20,96.85,0.605,127.82,0.0,0,3.25,0.0,0.025,broke,0,"Village family allowance, studying in Phnom Penh",184.24,7.71
27.01,3,9.0,14.33,4.4,2.37,0.0,1.35,27,154.82,0.174,176.42,0.0,0,1.25,0.0,0.007,broke,0,"Village family allowance, studying in Phnom Penh",272.62,8.88
85.62,12,7.13,39.18,15.46,6.41,0.0,4.36,18,169.45,0.505,187.46,0.0,0,0.08,0.0,0.0,broke,0,"Village family allowance, studying in Phnom Penh",238.36,8.01
61.15,12,5.1,32.01,10.89,5.04,0.0,3.12,18,125.64,0.487,151.03,0.0,0,4.28,0.0,0.028,broke,0,"Village family allowance, studying in Phnom Penh",144.33,5.72
112.61,28,4.02,57.77,20.94,9.13,0.0,5.08,2,94.1,1.197,113.72,0.0,0,4.05,0.0,0.036,broke,0,"Village family allowance, studying in Phnom Penh",121.36,21.39
42.93,10,4.29,19.51,7.66,3.19,0.0,2.08,20,102.49,0.419,115.76,0.0,0,3.23,0.0,0.028,broke,0,"Village family allowance, studying in Phnom Penh",133.75,6.02
86.83,30,2.89,43.73,16.41,7.39,0.0,3.91,0,64.72,1.342,84.72,0.0,0,2.13,0.0,0.025,broke,0,"Village family allowance, studying in Phnom Penh",94.33,26.75
9.34,2,4.67,4.64,1.65,0.72,0.0,0.51,28,104.83,0.089,124.31,0.0,0,2.73,0.0,0.022,broke,0,"Village family allowance, studying in Phnom Penh",160.63,0.62
9.97,3,3.32,4.67,1.85,0.88,0.0,0.48,27,74.11,0.135,94.92,0.0,0,3.56,0.0,0.038,broke,0,"Village family allowance, studying in Phnom Penh",104.71,12.38
6.14,1,6.14,3.1,1.21,0.51,0.0,0.28,29,154.99,0.04,187.96,0.0,0,4.06,0.0,0.022,broke,0,"Village family allowance, studying in Phnom Penh",201.64,5.13
102.02,20,5.1,56.04,16.7,7.64,0.0,4.69,10,102.81,0.992,120.19,0.0,0,3.82,0.0,0.032,broke,0,"Village family allowance, studying in Phnom Penh",160.63,6.96
47.58,10,4.76,26.62,8.57,3.89,0.0,2.13,20,94.04,0.506,107.29,0.0,0,1.63,0.0,0.015,broke,0,"Village family allowance, studying in Phnom Penh",138.03,2.82
195.84,30,6.53,105.5,35.5,16.85,0.0,9.79,0,141.99,1.379,187.77,0.0,0,1.43,0.0,0.008,broke,0,"Village family allowance, studying in Phnom Penh",195.84,31.69
84.05,27,3.11,42.71,16.64,5.97,0.0,4.4,3,73.8,1.139,92.79,0.0,0,0.98,0.0,0.011,broke,0,"Village family allowance, studying in Phnom Penh",99.89,16.81
59.4,7,8.49,29.11,10.59,5.31,0.0,2.61,23,176.2,0.337,196.53,0.0,0,3.73,0.0,0.019,broke,0,"Village family allowance, studying in Phnom Penh",239.06,15.67
75.87,20,3.79,38.78,13.92,5.47,0.0,4.14,10,90.89,0.835,112.6,0.0,0,0.41,0.0,0.004,broke,0,"Village family allowance, studying in Phnom Penh",104.06,4.64
84.12,8,10.51,39.49,13.9,6.18,0.0,4.04,22,165.67,0.508,186.65,0.0,0,6.44,0.0,0.034,broke,0,"Village family allowance, studying in Phnom Penh",332.06,7.35
101.48,23,4.41,55.22,20.3,7.21,0.0,5.36,7,85.16,1.192,102.71,0.0,0,3.95,0.0,0.038,broke,0,"Village family allowance, studying in Phnom Penh",141.23,15.91
199.66,26,7.68,90.36,37.12,16.76,0.0,8.86,4,157.19,1.27,195.74,0.0,0,3.46,0.0,0.018,broke,0,"Village family allowance, studying in Phnom Penh",209.38,27.66
173.87,27,6.44,78.49,32.44,13.28,0.0,8.48,3,149.04,1.167,184.52,0.0,0,5.92,0.0,0.032,broke,0,"Village family allowance, studying in Phnom Penh",173.87,18.63
60.23,11,5.48,27.8,9.77,4.36,0.0,3.07,19,119.03,0.506,150.61,0.0,0,2.39,0.0,0.016,broke,0,"Village family allowance, studying in Phnom Penh",163.97,13.55
89.12,24,3.71,41.64,14.4,7.31,0.0,4.64,6,69.66,1.279,82.09,0.0,0,3.2,0.0,0.039,broke,0,"Village family allowance, studying in Phnom Penh",108.91,20.43
119.68,21,5.7,55.17,20.82,10.51,0.0,6.37,9,104.41,1.146,125.57,0.0,0,2.61,0.0,0.021,broke,0,"Village family allowance, studying in Phnom Penh",163.06,20.66
74.62,10,7.46,38.01,12.7,5.37,0.0,3.36,20,160.34,0.465,182.14,0.0,0,5.9,0.0,0.032,broke,0,"Village family allowance, studying in Phnom Penh",218.89,3.09
69.79,17,4.11,34.95,11.54,5.0,0.0,3.17,13,90.51,0.771,118.8,0.0,0,1.69,0.0,0.014,broke,0,"Village family allowance, studying in Phnom Penh",117.01,1.31
89.3,26,3.43,46.71,14.39,7.16,0.0,5.0,4,86.68,1.03,108.69,0.0,0,3.59,0.0,0.033,broke,0,"Village family allowance, studying in Phnom Penh",104.9,8.42
24.49,5,4.9,11.18,4.45,1.83,0.0,1.08,25,96.02,0.255,116.75,0.0,0,2.46,0.0,0.021,broke,0,"Village family allowance, studying in Phnom Penh",155.36,3.06
151.95,26,5.84,75.51,24.82,12.12,0.0,8.36,4,111.75,1.36,145.76,0.0,0,4.92,0.0,0.034,broke,0,"Village family allowance, studying in Phnom Penh",177.12,23.99
27.39,8,3.42,12.64,4.98,2.45,5.18,1.51,22,73.36,0.373,98.8,15.54,1,0.0,0.157,0.0,broke,1,"Village family allowance, studying in Phnom Penh",90.7,25.08
110.89,13,8.53,57.82,21.19,9.6,0.0,5.5,17,159.06,0.697,178.13,0.0,0,3.6,0.0,0.02,broke,0,"Village family allowance, studying in Phnom Penh",236.73,4.28
129.07,26,4.96,58.86,20.89,10.89,0.0,6.45,4,99.35,1.299,126.25,0.0,0,3.94,0.0,0.031,broke,0,"Village family allowance, studying in Phnom Penh",153.43,19.93
19.65,4,4.91,9.28,3.25,1.71,0.0,0.88,26,132.03,0.149,153.23,0.0,0,4.61,0.0,0.03,broke,0,"Village family allowance, studying in Phnom Penh",151.67,7.98
53.39,15,3.56,27.78,9.52,4.18,0.0,2.77,15,92.92,0.575,121.51,0.0,0,3.75,0.0,0.031,broke,0,"Village family allowance, studying in Phnom Penh",97.79,11.21
85.12,20,4.26,47.34,16.63,6.18,16.44,4.5,10,99.87,0.852,135.11,49.31,1,0.0,0.365,0.0,broke,1,"Village family allowance, studying in Phnom Penh",138.81,34.76
126.18,28,4.51,70.31,20.59,9.91,0.0,5.62,2,111.27,1.134,138.24,0.0,0,4.01,0.0,0.029,broke,0,"Village family allowance, studying in Phnom Penh",145.99,18.78
104.43,20,5.22,48.09,20.82,8.24,0.0,5.58,10,102.04,1.023,115.07,0.0,0,3.47,0.0,0.03,broke,0,"Village family allowance, studying in Phnom Penh",163.39,10.88
45.92,12,3.83,20.68,8.5,3.33,0.0,2.21,18,87.66,0.524,95.8,0.0,0,3.01,0.0,0.031,broke,0,"Village family allowance, studying in Phnom Penh",123.47,12.96
90.85,12,7.57,46.5,16.36,6.64,0.0,4.12,18,162.71,0.558,199.14,0.0,0,2.19,0.0,0.011,broke,0,"Village family allowance, studying in Phnom Penh",205.18,6.55
172.99,30,5.77,87.35,28.55,14.02,0.0,8.74,0,139.47,1.24,156.55,0.0,0,3.32,0.0,0.021,broke,0,"Village family allowance, studying in Phnom Penh",184.53,13.89
56.6,12,4.72,25.14,11.34,5.02,0.0,2.84,18,89.81,0.63,111.12,0.0,0,0.26,0.0,0.002,broke,0,"Village family allowance, studying in Phnom Penh",142.91,5.05
150.69,30,5.02,72.12,26.97,11.26,0.0,7.79,0,116.62,1.292,139.03,0.0,0,2.73,0.0,0.02,broke,0,"Village family allowance, studying in Phnom Penh",153.81,26.8
32.87,10,3.29,16.77,5.87,2.53,0.0,1.82,20,78.3,0.42,94.75,0.0,0,1.91,0.0,0.02,broke,0,"Village family allowance, studying in Phnom Penh",102.35,1.98
31.31,4,7.83,16.42,4.96,2.3,0.0,1.65,26,160.8,0.195,179.21,0.0,0,4.05,0.0,0.023,broke,0,"Village family allowance, studying in Phnom Penh",262.61,2.81
22.18,5,4.44,12.07,4.21,1.84,0.0,1.19,25,70.24,0.316,92.64,0.0,0,2.39,0.0,0.026,broke,0,"Village family allowance, studying in Phnom Penh",124.8,10.14
37.94,6,6.32,18.94,6.67,3.06,0.0,1.94,24,111.49,0.34,127.37,0.0,0,0.64,0.0,0.005,broke,0,"Village family allowance, studying in Phnom Penh",176.54,6.97
48.89,8,6.11,25.07,8.36,3.64,0.0,2.24,22,142.17,0.344,161.31,0.0,0,4.99,0.0,0.031,broke,0,"Village family allowance, studying in Phnom Penh",200.01,8.23
79.41,12,6.62,40.95,14.11,5.8,0.0,4.41,18,146.32,0.543,192.49,0.0,0,3.64,0.0,0.019,broke,0,"Village family allowance, studying in Phnom Penh",188.81,13.67
34.52,10,3.45,18.22,6.0,2.89,0.0,1.68,20,73.83,0.468,89.15,0.0,0,2.88,0.0,0.032,broke,0,"Village family allowance, studying in Phnom Penh",118.69,6.31
133.24,30,4.44,63.94,25.1,11.35,0.0,6.91,0,102.05,1.306,127.14,0.0,0,3.93,0.0,0.031,broke,0,"Village family allowance, studying in Phnom Penh",143.26,16.04
91.94,25,3.68,41.76,17.6,7.66,5.46,4.53,5,95.81,0.96,131.03,16.39,1,0.0,0.125,0.0,broke,1,"Village family allowance, studying in Phnom Penh",104.58,26.96
98.9,17,5.82,44.33,19.01,7.51,0.0,4.87,13,124.68,0.793,137.9,0.0,0,2.14,0.0,0.015,broke,0,"Village family allowance, studying in Phnom Penh",170.85,6.11
171.98,14,12.28,84.97,32.23,14.03,0.0,8.65,16,165.78,1.037,193.33,0.0,0,5.19,0.0,0.027,broke,0,"Village family allowance, studying in Phnom Penh",324.73,11.05
137.48,27,5.09,67.55,24.41,11.39,0.0,7.59,3,86.17,1.596,100.89,0.0,0,1.81,0.0,0.018,broke,0,"Village family allowance, studying in Phnom Penh",159.64,31.02
72.54,22,3.3,36.63,12.57,5.68,0.0,3.83,8,62.76,1.156,82.63,0.0,0,1.66,0.0,0.02,broke,0,"Village family allowance, studying in Phnom Penh",92.91,11.05
56.89,11,5.17,26.43,10.26,4.46,0.0,2.52,19,122.74,0.464,156.16,0.0,0,0.74,0.0,0.005,broke,0,"Village family allowance, studying in Phnom Penh",146.0,16.07
147.75,28,5.28,71.86,27.16,10.93,0.0,7.56,2,116.82,1.265,155.41,0.0,0,1.57,0.0,0.01,broke,0,"Village family allowance, studying in Phnom Penh",169.67,17.4
129.7,18,7.21,62.15,24.74,11.14,0.0,7.04,12,141.78,0.915,166.92,0.0,0,3.73,0.0,0.022,broke,0,"Village family allowance, studying in Phnom Penh",211.52,8.44
89.83,28,3.21,39.87,15.87,6.47,9.34,4.61,2,76.71,1.171,95.61,28.02,1,0.0,0.293,0.0,broke,1,"Village family allowance, studying in Phnom Penh",103.45,40.22
99.89,16,6.24,55.64,16.56,8.75,0.0,5.33,14,143.28,0.697,159.09,0.0,0,5.49,0.0,0.035,broke,0,"Village family allowance, studying in Phnom Penh",199.02,4.53
35.03,6,5.84,18.21,5.85,2.5,0.0,1.59,24,139.4,0.251,179.52,0.0,0,4.43,0.0,0.025,broke,0,"Village family allowance, studying in Phnom Penh",185.93,5.48
73.07,12,6.09,40.65,13.38,5.34,12.05,3.54,18,160.73,0.455,192.85,36.14,1,0.0,0.187,0.0,broke,1,"Village family allowance, studying in Phnom Penh",182.9,25.65
68.51,9,7.61,35.2,13.1,5.5,0.0,3.59,21,156.81,0.437,181.41,0.0,0,1.27,0.0,0.007,broke,0,"Village family allowance, studying in Phnom Penh",233.56,3.89
114.23,16,7.14,63.05,19.4,9.38,0.0,5.96,14,145.13,0.787,164.97,0.0,0,4.45,0.0,0.027,broke,0,"Village family allowance, studying in Phnom Penh",225.98,3.29
56.53,9,6.28,29.27,9.62,4.17,0.0,2.69,21,99.2,0.57,113.79,0.0,0,0.05,0.0,0.0,broke,0,"Village family allowance, studying in Phnom Penh",196.23,10.33
83.05,15,5.54,37.59,15.23,6.59,0.0,3.77,15,137.96,0.602,174.1,0.0,0,6.02,0.0,0.035,broke,0,"Village family allowance, studying in Phnom Penh",162.65,6.76
147.53,26,5.67,81.95,26.2,12.51,14.31,7.43,4,123.02,1.199,168.66,42.94,1,0.0,0.255,0.0,broke,1,"Village family allowance, studying in Phnom Penh",160.67,38.58
50.86,16,3.18,28.35,10.18,3.97,0.0,2.68,14,80.05,0.635,106.03,0.0,0,2.36,0.0,0.022,broke,0,"Village family allowance, studying in Phnom Penh",97.48,11.22
